window_idx,time_sec,R_GM,R_ILIO,R_ST,R_RF,R_VL,R_BF,R_SOL,R_TA,L_GM,L_ILIO,L_ST,L_RF,L_VL,L_BF,L_SOL,L_TA
18,1.8000,0.0000,0.2633,0.2287,0.0000,0.5598,0.1985,0.0000,0.0000,0.1871,0.8332,0.8626,0.3627,1.0000,0.9946,0.0000,0.1807
19,1.9000,0.0000,0.0000,0.6990,0.0000,0.5687,0.5129,0.0000,0.0000,0.7983,0.0560,0.9658,0.0000,0.9967,1.0000,0.8212,0.9010
20,2.0000,0.0702,0.0000,0.4950,0.0000,0.0000,0.0000,0.4344,0.3752,0.9329,0.0000,1.0000,0.3606,0.6736,0.6414,0.9614,0.9639
21,2.1000,0.1869,0.0000,0.1162,0.1841,0.0000,0.0000,0.5746,0.4099,0.7723,0.4554,0.5175,0.6570,0.0000,0.1127,1.0000,0.8743
22,2.2000,0.0000,0.5560,0.0000,0.3392,0.0000,0.0000,0.3935,0.2605,0.3238,1.0000,0.0000,0.8592,0.5083,0.0458,0.8499,0.5619
23,2.3000,0.0000,0.6224,0.5401,0.0433,0.5454,0.6494,0.0000,0.0000,0.0472,0.9954,0.8971,0.2400,1.0000,0.9567,0.0000,0.1746
24,2.4000,0.0000,0.0000,0.5475,0.0000,0.3059,0.1364,0.2107,0.3475,0.5660,0.0636,1.0000,0.0000,0.9648,0.8544,0.6415,0.7238
25,2.5000,0.0680,0.0000,0.2134,0.0000,0.0000,0.0000,0.5059,0.3795,0.6987,0.0000,1.0000,0.5690,0.6105,0.7709,0.9281,0.8348
26,2.6000,0.0565,0.0633,0.0000,0.3433,0.0000,0.0000,0.3588,0.3298,0.7699,0.6338,0.6412,0.8919,0.0000,0.2613,1.0000,0.8490
27,2.7000,0.0000,0.5113,0.0000,0.2193,0.2299,0.0000,0.1880,0.0000,0.4101,1.0000,0.0770,0.7858,0.4377,0.1076,0.7765,0.4405
28,2.8000,0.0000,0.3516,0.1722,0.0000,0.6435,0.2051,0.0000,0.0000,0.1552,0.8483,0.8073,0.3132,1.0000,0.7845,0.0380,0.0442
29,2.9000,0.0000,0.0000,0.4452,0.0000,0.4497,0.3380,0.0000,0.0616,0.7299,0.1742,1.0000,0.0000,0.9729,0.8709,0.7429,0.7429
30,3.0000,0.0000,0.0000,0.5811,0.0000,0.0000,0.0000,0.3988,0.2305,0.7730,0.0000,0.9509,0.5781,0.6702,0.7640,1.0000,0.8953
31,3.1000,0.1265,0.0000,0.3409,0.1252,0.0000,0.0000,0.5220,0.5159,0.8383,0.6038,0.7187,0.8957,0.0000,0.0000,1.0000,0.8988
32,3.2000,0.0000,0.5361,0.0000,0.5194,0.0000,0.0000,0.6643,0.0994,0.4793,1.0000,0.0000,0.8205,0.4300,0.0463,0.8690,0.5718
33,3.3000,0.0000,0.4886,0.4512,0.0000,0.3197,0.4145,0.0000,0.0000,0.1330,0.7935,0.7653,0.0999,1.0000,0.8313,0.0000,0.1967
34,3.4000,0.0675,0.0000,0.5253,0.0000,0.3803,0.2453,0.1543,0.2036,0.6547,0.0664,1.0000,0.0000,0.9771,0.8985,0.6446,0.7581
35,3.5000,0.0000,0.0000,0.4105,0.0000,0.0000,0.0000,0.4863,0.3921,0.9387,0.0000,0.9161,0.5258,0.6927,0.7748,1.0000,0.9974
36,3.6000,0.0000,0.1613,0.0000,0.2010,0.0000,0.0000,0.5623,0.4148,0.8195,0.5581,0.6442,0.8347,0.0000,0.1791,0.9899,1.0000
37,3.7000,0.0000,0.5232,0.0000,0.3624,0.1086,0.0000,0.0308,0.0946,0.3713,1.0000,0.0000,0.9381,0.3662,0.1803,0.8059,0.4737
38,3.8000,0.0000,0.2829,0.1876,0.0364,0.5293,0.1757,0.0364,0.0000,0.2081,0.9456,0.7802,0.1402,1.0000,0.7871,0.0356,0.1920
39,3.9000,0.0000,0.0000,0.6030,0.0000,0.5272,0.3540,0.0000,0.0602,0.7730,0.1277,1.0000,0.0000,0.9974,0.9988,0.7783,0.8490
40,4.0000,0.0666,0.0000,0.5880,0.0000,0.0000,0.0669,0.2969,0.2271,0.8672,0.0000,0.8195,0.4804,0.6044,0.5356,0.9740,1.0000
41,4.1000,0.3135,0.0000,0.2488,0.1340,0.0000,0.0000,0.6628,0.5209,0.9688,0.7010,0.7818,0.9356,0.0000,0.0000,1.0000,0.9518
42,4.2000,0.0485,0.3696,0.0000,0.4028,0.0000,0.0000,0.5456,0.2009,0.5266,1.0000,0.0000,0.8435,0.4229,0.0509,0.7852,0.4266
43,4.3000,0.0000,0.5359,0.5247,0.0890,0.5276,0.5449,0.0000,0.0000,0.0000,0.9596,0.8857,0.1118,1.0000,0.9417,0.0000,0.2652
44,4.4000,0.0608,0.0000,0.4773,0.0000,0.3364,0.2043,0.3546,0.0765,0.4889,0.0000,1.0000,0.0000,0.8618,0.9284,0.6930,0.7255
45,4.5000,0.1450,0.0000,0.0727,0.0000,0.0000,0.0000,0.5779,0.4285,0.8671,0.0000,0.9265,0.6313,0.6633,0.7447,1.0000,0.9529
46,4.6000,0.1394,0.0000,0.0000,0.4136,0.0000,0.0000,0.5953,0.2444,0.7728,0.6051,0.6971,0.9812,0.0000,0.1931,1.0000,0.9104
47,4.7000,0.0000,0.4549,0.0000,0.3032,0.2484,0.0000,0.1377,0.0000,0.4075,1.0000,0.0000,0.8615,0.4716,0.1312,0.8114,0.5871
48,4.8000,0.0000,0.3575,0.1409,0.0000,0.6021,0.2378,0.0000,0.0000,0.2056,0.9146,0.8597,0.2447,0.9973,1.0000,0.0000,0.2601
